mean,stdev,bias,skew,,mean,bias equation,skew equation
65,40,1.093338367,0.062718718,,,,
70,2,0.942333837,2.482388097,,,,
70,4,0.927233384,1.474663436,,,,
70,6,0.941723338,0.937161556,,,,
70,8,0.936172334,0.688879194,,,,
70,10,0.970617233,0.543068495,,,,
70,12,0.986061723,0.443384458,,,,
70,14,1.008606172,0.363096722,,,,
70,16,1.036860617,0.312950523,,,,
70,18,1.024686062,0.275675023,,,,
70,20,1.029468606,0.241427246,,,,
70,22,1.067946861,0.20909073,,,,
70,24,1.082794686,0.186660463,,,,
70,26,1.093279469,0.162984958,,,,
70,28,1.106327947,0.145119297,,,,
70,30,1.105632795,0.128148145,,,,
70,32,1.107563279,0.117094394,,,,
70,34,1.110756328,0.098674272,,,,
70,36,1.110075633,0.088038541,,,,
70,38,1.109007563,0.075568367,,,,
70,40,1.109900756,0.062799087,,,,
75,2,1.110990076,2.312249556,,,,
75,4,1.111099008,1.359384003,,,,
75,6,1.111109901,0.901690055,,,,
75,8,1.11111099,0.669608027,,,,
75,10,1.111111099,0.530355316,,,,
75,12,1.11111111,0.435596487,,,,
75,14,1.111111111,0.372692626,,,,
75,16,1.110111111,0.315179579,,,,
75,18,1.111011111,0.264523442,,,,
75,20,1.111101111,0.236949105,,,,
75,22,1.111110111,0.208408523,,,,
75,24,1.111111011,0.18460548,,,,
75,26,1.111111101,0.164639839,,,,
75,28,1.11111111,0.144079717,,,,
75,30,1.111111111,0.130463563,,,,
75,32,1.111111111,0.116044639,,,,
75,34,1.111111111,0.098728918,,,,
75,36,1.111111111,0.085579223,,,,
75,38,1.111111111,0.075394225,,,,
75,40,1.111111111,0.062781673,,,,
80,2,1.111111111,2.299667914,,,,
80,4,1.111111111,1.360792408,,,,
80,6,1.111111111,0.906179915,,,,
80,8,1.111111111,0.652124835,,,,
80,10,1.111111111,0.516059465,,,,
80,12,1.111111111,0.422333137,,,,
80,14,1.111111111,0.361983995,,,,
80,16,1.111111111,0.306630355,,,,
80,18,1.111111111,0.266171687,,,,
80,20,1.111111111,0.24023081,,,,
80,22,1.111111111,0.207705631,,,,
80,24,1.111111111,0.179974086,,,,
80,26,1.111111111,0.166441033,,,,
80,28,1.111111111,0.146926714,,,,
80,30,1.111111111,0.127721702,,,,
80,32,1.111111111,0.111734743,,,,
80,34,1.111111111,0.09681703,,,,
80,36,1.111111111,0.086177722,,,,
80,38,1.111111111,0.073300381,,,,
80,40,1.111111111,0.062055402,,,,
85,2,1.111111111,2.29882727,,,,
85,4,1.111111111,1.39366908,,,,
85,6,1.111111111,0.895638189,,,,
85,8,1.111111111,0.645006743,,,,
85,10,1.111111111,0.516347066,,,,
85,12,1.111111111,0.426934691,,,,
85,14,1.111111111,0.358041687,,,,
85,16,1.111111111,0.304746028,,,,
85,18,1.111111111,0.271684668,,,,
85,20,1.111111111,0.235591289,,,,
85,22,1.111111111,0.20600443,,,,
85,24,1.111111111,0.187351894,,,,
85,26,1.111111111,0.162893297,,,,
85,28,1.111111111,0.143898698,,,,
85,30,1.111111111,0.127669576,,,,
85,32,1.111111111,0.1132769,,,,
85,34,1.111111111,0.098813752,,,,
85,36,1.111111111,0.084861832,,,,
85,38,1.111111111,0.076614702,,,,
85,40,1.111111111,0.063485218,,,,
90,2,1.111111111,2.219755736,,,,
90,4,1.111111111,1.344665959,,,,
90,6,1.111111111,0.905575693,,,,
90,8,1.111111111,0.649871647,,,,
90,10,1.111111111,0.504752631,,,,
